eventId; subEventName; tags; playerId; positions; matchId; eventName; teamId; matchPeriod; eventSec; subEventId; id 
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}];25707;[{'y': 59, 'x': 89}, {'y': 100, 'x': 100}];2499950;Shot;1610;1H;176.33642500000002;100;222188190
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}];105333;[{'y': 57, 'x': 85}, {'y': 100, 'x': 100}];2499950;Shot;1610;1H;346.957495;100;222188252
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];25707;[{'y': 52, 'x': 87}, {'y': 100, 'x': 100}];2499950;Shot;1610;2H;1875.4178599999996;100;222189605
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}];8625;[{'y': 45, 'x': 90}, {'y': 100, 'x': 100}];2499950;Shot;1610;2H;2596.8107339999997;100;222189791
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1208}, {'id': 1801}];134513;[{'y': 39, 'x': 88}, {'y': 100, 'x': 100}];2499951;Shot;1611;2H;519.5089079999998;100;222355411
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];8958;[{'y': 54, 'x': 87}, {'y': 100, 'x': 100}];2499952;Shot;1627;1H;412.267564;100;222330743
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1209}, {'id': 1801}];145692;[{'y': 57, 'x': 94}, {'y': 0, 'x': 0}];2499952;Shot;1623;2H;1456.8873990000002;100;222331799
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1202}, {'id': 1801}];12829;[{'y': 49, 'x': 90}, {'y': 58, 'x': 91}];2499953;Free Kick;1631;1H;2312.163186;35;222272894
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];26150;[{'y': 31, 'x': 95}, {'y': 0, 'x': 0}];2499953;Shot;1631;2H;2719.426249;100;222273721
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];8325;[{'y': 39, 'x': 94}, {'y': 0, 'x': 0}];2499954;Shot;1625;1H;2016.0937170000002;100;222268547
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1204}, {'id': 1801}];8325;[{'y': 51, 'x': 90}, {'y': 25, 'x': 95}];2499954;Free Kick;1625;2H;1037.7069469999997;35;222269223
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}];293686;[{'y': 49, 'x': 89}, {'y': 100, 'x': 100}];2499954;Shot;1613;2H;1267.7252760000001;100;222269113
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];8325;[{'y': 52, 'x': 92}, {'y': 0, 'x': 0}];2499954;Shot;1625;2H;2247.8203750000002;100;222269587
7;Touch;[{'id': 102}, {'id': 1401}];257762;[{'y': 65, 'x': 6}, {'y': 100, 'x': 100}];2499955;Others on the ball;1624;1H;849.420654;72;222594494
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}];8717;[{'y': 52, 'x': 92}, {'y': 100, 'x': 100}];2499955;Shot;1624;1H;1045.929917;100;222594541
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];77548;[{'y': 63, 'x': 90}, {'y': 0, 'x': 0}];2499956;Shot;1639;2H;460.620778;100;222376034
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];15054;[{'y': 54, 'x': 86}, {'y': 0, 'x': 0}];2499956;Shot;1639;2H;1403.2781510000004;100;222376289
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];246866;[{'y': 47, 'x': 88}, {'y': 0, 'x': 0}];2499957;Shot;10531;1H;2400.647601;100;222949217
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1204}, {'id': 1801}];62224;[{'y': 30, 'x': 91}, {'y': 100, 'x': 100}];2499958;Shot;1659;2H;1559.082477;100;222285676
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];7941;[{'y': 49, 'x': 91}, {'y': 0, 'x': 0}];2499958;Shot;1633;2H;1660.0945549999997;100;222285863
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];18550;[{'y': 53, 'x': 73}, {'y': 100, 'x': 100}];2499959;Shot;1612;1H;1503.385342;100;224985583
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];15808;[{'y': 42, 'x': 97}, {'y': 100, 'x': 100}];2499959;Shot;1612;1H;2708.93951;100;224985979
3;Penalty;[{'id': 101}, {'id': 401}, {'id': 1202}, {'id': 1801}];120353;[{'y': 51, 'x': 89}, {'y': 71, 'x': 86}];2499959;Free Kick;1612;2H;1949.3911010000002;35;224986664
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];3560;[{'y': 45, 'x': 94}, {'y': 100, 'x': 100}];2499960;Shot;1609;1H;1925.75045;100;225021220
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];10252;[{'y': 34, 'x': 90}, {'y': 0, 'x': 0}];2499960;Shot;10531;1H;2031.6880809999998;100;225022089
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];25571;[{'y': 56, 'x': 88}, {'y': 0, 'x': 0}];2499960;Shot;10531;2H;945.1623559999998;100;225022525
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}];10252;[{'y': 57, 'x': 91}, {'y': 0, 'x': 0}];2499960;Shot;10531;2H;2450.2535;100;225022662
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}];38031;[{'y': 49, 'x': 93}, {'y': 100, 'x': 100}];2499961;Shot;1628;1H;1385.989532;100;225002226
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1205}, {'id': 1801}];8561;[{'y': 49, 'x': 89}, {'y': 38, 'x': 92}];2499961;Free Kick;1633;1H;2541.104331;35;225002118
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}];11669;[{'y': 53, 'x': 89}, {'y': 100, 'x': 100}];2499962;Shot;1659;2H;309.56242699999984;100;225248881
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}];8959;[{'y': 38, 'x': 93}, {'y': 100, 'x': 100}];2499962;Shot;1659;2H;1090.4448700000003;100;225249121
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}];134102;[{'y': 59, 'x': 93}, {'y': 100, 'x': 100}];2499962;Shot;1659;2H;1269.7497030000004;100;225249180
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];7879;[{'y': 38, 'x': 91}, {'y': 0, 'x': 0}];2499963;Shot;1623;1H;1454.13836;100;225263597
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];7879;[{'y': 58, 'x': 97}, {'y': 0, 'x': 0}];2499963;Shot;1623;1H;2289.511344;100;225263768
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1205}, {'id': 1801}];12829;[{'y': 51, 'x': 89}, {'y': 76, 'x': 88}];2499963;Free Kick;1631;2H;1548.4256919999998;35;225263530
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1204}, {'id': 1801}];8833;[{'y': 61, 'x': 93}, {'y': 0, 'x': 0}];2499964;Shot;1613;2H;1175.0478730000004;100;225255071
7;Touch;[{'id': 102}];8826;[{'y': 51, 'x': 2}, {'y': 0, 'x': 0}];2499964;Others on the ball;1613;2H;2347.18163;72;225255277
3;Penalty;[{'id': 101}, {'id': 402}, {'id': 1202}, {'id': 1801}];8416;[{'y': 51, 'x': 90}, {'y': 48, 'x': 88}];2499965;Free Kick;1651;1H;835.294928;35;225245819
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];8136;[{'y': 66, 'x': 90}, {'y': 0, 'x': 0}];2499965;Shot;1619;2H;1137.4763309999998;100;225246752
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}];105339;[{'y': 37, 'x': 88}, {'y': 0, 'x': 0}];2499966;Shot;1625;1H;1136.385721;100;225227079
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];38021;[{'y': 49, 'x': 87}, {'y': 0, 'x': 0}];2499966;Shot;1625;2H;1370.0791719999997;100;225228046
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1204}, {'id': 1801}];8325;[{'y': 66, 'x': 91}, {'y': 0, 'x': 0}];2499966;Shot;1625;2H;2613.341826;100;225228363
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1204}, {'id': 1801}];54;[{'y': 59, 'x': 93}, {'y': 0, 'x': 0}];2499968;Shot;1624;1H;14.603145000000012;100;225230593
7;Clearance;[{'id': 102}, {'id': 1401}, {'id': 1801}];7918;[{'y': 39, 'x': 9}, {'y': 100, 'x': 100}];2499968;Others on the ball;1611;1H;1668.705045;71;225229296
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];49872;[{'y': 51, 'x': 91}, {'y': 100, 'x': 100}];2499969;Shot;1639;1H;298.771972;100;225842862
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1205}, {'id': 1801}];9637;[{'y': 38, 'x': 89}, {'y': 0, 'x': 0}];2499969;Shot;1659;2H;1494.7117950000002;100;225844369
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];245813;[{'y': 44, 'x': 94}, {'y': 0, 'x': 0}];2499969;Shot;1659;2H;2015.4888270000001;100;225844509
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];7870;[{'y': 52, 'x': 94}, {'y': 0, 'x': 0}];2499970;Shot;1609;1H;346.970695;100;225784327
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];7855;[{'y': 58, 'x': 96}, {'y': 0, 'x': 0}];2499970;Shot;1609;1H;818.1164450000001;100;225784469
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1207}, {'id': 1801}];7870;[{'y': 46, 'x': 78}, {'y': 0, 'x': 0}];2499970;Shot;1609;1H;1103.293026;100;225784627
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}];25867;[{'y': 37, 'x': 92}, {'y': 0, 'x': 0}];2499970;Shot;1609;1H;2184.106416;100;225784976
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}];293687;[{'y': 53, 'x': 93}, {'y': 100, 'x': 100}];2499970;Shot;1623;2H;1125.4028040000003;100;225785141
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];7870;[{'y': 58, 'x': 89}, {'y': 0, 'x': 0}];2499970;Shot;1609;2H;1700.6744909999998;100;225785681
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}];8416;[{'y': 41, 'x': 89}, {'y': 0, 'x': 0}];2499971;Shot;1651;1H;421.52960499999995;100;225849169
